NO_PESSOA,NU_IDADE,NO_PROFISSAO,DT_NASCIMENTO
Abelardo 3,23,Analista de Nada,01/04/89
Abelardo 0,20,Analista de TI,01/01/89
Abelardo 1,21,Analista de Marmotagem,01/02/89
Abelardo 2,22,Analista de Requisitos,01/03/89
Abelardo 4,24,Analista de TI,01/05/89
Abelardo 5,25,Analista de Marmotagem,01/06/89
Abelardo 6,26,Analista de Requisitos,01/07/89
Abelardo 7,27,Analista de Nada,01/08/89
Abelardo 8,28,Analista de TI,01/09/89
Abelardo 9,29,Analista de Marmotagem,01/10/89
Abelardo 10,30,Analista de Requisitos,01/11/89
Abelardo 11,31,Analista de Nada,01/12/89
Abelardo 12,32,Analista de TI,01/13/89
Abelardo 13,33,Analista de Marmotagem,01/14/89
Abelardo 14,34,Analista de Requisitos,01/15/89
Abelardo 15,35,Analista de Nada,01/16/89
Abelardo 16,36,Analista de TI,01/17/89
Abelardo 17,37,Analista de Marmotagem,01/18/89
Abelardo 18,38,Analista de Requisitos,01/19/89
Abelardo 19,39,Analista de Nada,01/20/89
Abelardo 20,40,Analista de TI,01/21/89
Abelardo 21,41,Analista de Marmotagem,01/22/89
Abelardo 22,42,Analista de Requisitos,01/23/89
Abelardo 23,43,Analista de Nada,01/24/89
Abelardo 24,44,Analista de TI,01/25/89
Abelardo 25,45,Analista de Marmotagem,01/26/89
Abelardo 26,46,Analista de Requisitos,01/27/89
Abelardo 27,47,Analista de Nada,01/28/89
Abelardo 28,48,Analista de TI,01/29/89
Abelardo 29,49,Analista de Marmotagem,01/30/89
Abelardo 30,50,Analista de Requisitos,01/31/89
Abelardo 31,51,Analista de Nada,02/01/89
Abelardo 32,52,Analista de TI,02/02/89
Abelardo 33,53,Analista de Marmotagem,02/03/89
Abelardo 34,54,Analista de Requisitos,02/04/89
Abelardo 35,55,Analista de Nada,02/05/89
Abelardo 36,56,Analista de TI,02/06/89
Abelardo 37,57,Analista de Marmotagem,02/07/89
Abelardo 38,58,Analista de Requisitos,02/08/89
Abelardo 39,59,Analista de Nada,02/09/89
Abelardo 40,60,Analista de TI,02/10/89
Abelardo 41,61,Analista de Marmotagem,02/11/89
Abelardo 42,62,Analista de Requisitos,02/12/89
Abelardo 43,63,Analista de Nada,02/13/89
Abelardo 44,64,Analista de TI,02/14/89
Abelardo 45,65,Analista de Marmotagem,02/15/89
Abelardo 46,66,Analista de Requisitos,02/16/89
Abelardo 47,67,Analista de Nada,02/17/89
Abelardo 48,68,Analista de TI,02/18/89
Abelardo 49,69,Analista de Marmotagem,02/19/89
Abelardo 50,70,Analista de Requisitos,02/20/89
Abelardo 51,71,Analista de Nada,02/21/89
Abelardo 52,72,Analista de TI,02/22/89
Abelardo 53,73,Analista de Marmotagem,02/23/89
Abelardo 54,74,Analista de Requisitos,02/24/89
Abelardo 55,75,Analista de Nada,02/25/89
Abelardo 56,76,Analista de TI,02/26/89
Abelardo 57,77,Analista de Marmotagem,02/27/89
Abelardo 58,78,Analista de Requisitos,02/28/89
Abelardo 59,79,Analista de Nada,03/01/89
Abelardo 60,80,Analista de TI,03/02/89
Abelardo 61,81,Analista de Marmotagem,03/03/89
Abelardo 62,82,Analista de Requisitos,03/04/89
Abelardo 63,83,Analista de Nada,03/05/89
Abelardo 64,84,Analista de TI,03/06/89
Abelardo 65,85,Analista de Marmotagem,03/07/89
Abelardo 66,86,Analista de Requisitos,03/08/89
Abelardo 67,87,Analista de Nada,03/09/89
Abelardo 68,88,Analista de TI,03/10/89
Abelardo 69,89,Analista de Marmotagem,03/11/89
Abelardo 70,90,Analista de Requisitos,03/12/89
Abelardo 71,91,Analista de Nada,03/13/89
Abelardo 72,92,Analista de TI,03/14/89
Abelardo 73,93,Analista de Marmotagem,03/15/89
Abelardo 74,94,Analista de Requisitos,03/16/89
Abelardo 75,95,Analista de Nada,03/17/89
Abelardo 76,96,Analista de TI,03/18/89
Abelardo 77,97,Analista de Marmotagem,03/19/89
Abelardo 78,98,Analista de Requisitos,03/20/89
Abelardo 79,99,Analista de Nada,03/21/89
Abelardo 80,20,Analista de TI,03/22/89
Abelardo 81,21,Analista de Marmotagem,03/23/89
Abelardo 82,22,Analista de Requisitos,03/24/89
